has_category_id,tweet_id,category_id
92082,582,562
92083,583,573
92084,584,564
92085,585,572
92086,586,570
92087,587,570
92088,588,570
92089,589,578
92090,590,570
92091,591,570
92092,592,558
92093,593,562
92094,594,578
92095,595,579
92096,596,573
92097,597,579
92098,598,566
92099,599,564
92100,600,569
92101,602,558
92102,603,558
92103,604,558
92104,605,568
92105,606,573
92106,607,568
92107,608,568
92108,609,568
92109,610,579
92110,611,570
92111,612,570
92112,613,570
92113,614,568
92114,615,568
92115,616,562
92116,617,570
92117,618,570
92118,619,579
92119,620,577
92120,621,577
92121,622,562
92122,623,571
92123,624,579
92124,625,562
92125,626,579
92126,627,578
92127,628,562
92128,629,574
92129,630,577
92130,631,571
92131,632,577
92132,633,568
92133,634,575
92134,636,570
92135,637,570
92136,638,568
92137,639,568
92138,640,579
92139,641,562
92140,642,563
92141,643,579
92142,644,579
92143,645,579
92144,646,570
92145,647,579
92146,648,570
92147,650,562
92148,651,579
92149,652,570
92150,653,570
92151,654,570
92152,655,558
92153,656,568
92154,657,579
92155,658,570
92156,659,571
92157,660,570
92158,661,577
92159,662,562
92160,663,562
92161,664,570
92162,665,558
92163,666,568
92164,668,570
92165,669,579
92166,670,562
92167,671,571
92168,672,577
92169,673,581
92170,674,564
92171,675,571
92172,676,562
92173,677,570
92174,678,570
92175,679,570
92176,680,570
92177,681,570
92178,682,570
92179,683,578
92180,684,579
92181,685,570
92182,686,570
92183,687,570
92184,688,568
92185,689,568
92186,690,579
92187,691,562
92188,692,568
92189,693,570
92190,694,569
92191,695,570
92192,696,578
92193,697,562
92194,698,578
92195,699,558
92196,700,572
92197,701,579
92198,702,579
92199,704,579
92200,705,577
92201,706,570
92202,707,579
92203,708,570
92204,710,579
92205,711,570
92206,712,579
92207,713,571
92208,714,570
92209,715,574
92210,716,564
92211,717,569
92212,718,579
92213,719,568
92214,721,579
92215,722,581
92216,723,562
92217,724,570
92218,725,570
92219,726,570
92220,727,570
92221,728,579
92222,729,570
92223,730,570
92224,731,570
92225,732,562
92226,733,579
92227,734,566
92228,735,566
92229,736,562
92230,737,568
92231,738,568
92232,739,581
92233,740,568
92234,741,581
92235,742,581
92236,743,572
92237,744,578
92238,745,572
92239,746,570
92240,747,570
92241,749,570
92242,750,579
92243,751,579
92244,752,570
92245,753,573
92246,754,572
92247,755,579
92248,756,568
92249,757,578
92250,758,570
92251,759,577
92252,760,569
92253,761,562
92254,762,569
92255,763,570
92256,764,579
92257,765,568
92258,766,579
92259,767,562
92260,769,570
92261,770,576
92262,771,562
92263,772,568
92264,773,562
92265,774,572
92266,775,569
92267,776,570
92268,777,569
92269,778,573
92270,779,558
92271,780,568
92272,781,570
92273,782,568
92274,783,568
92275,784,569
92276,785,562
92277,786,562
92278,788,562
92279,789,565
92280,790,564
92281,791,562
92282,793,568
92283,794,558
92284,795,570
92285,796,570
92286,797,569
92287,798,570
92288,799,562
92289,800,572
92290,801,577
92291,802,571
92292,803,570
92293,804,571
92294,805,566
92295,806,566
92296,807,568
92297,808,570
92298,810,577
92299,811,570
92300,812,577
92301,813,560
92302,814,562
92303,816,577
92304,817,562
