relation_id,start_id,start_label,end_id,end_label,times
195504,583,Tweet,97153,User,
195505,589,Tweet,97154,User,
195506,595,Tweet,97155,User,
195507,595,Tweet,97154,User,
195508,597,Tweet,92190,User,
195509,600,Tweet,57932,User,
195510,600,Tweet,56613,User,
195511,600,Tweet,97170,User,
195512,602,Tweet,56613,User,
195513,603,Tweet,56613,User,
195514,604,Tweet,56613,User,
195515,606,Tweet,97157,User,
195516,610,Tweet,56586,User,
195517,613,Tweet,88246,User,
195518,615,Tweet,97158,User,
195519,620,Tweet,56613,User,
195520,621,Tweet,97154,User,
195521,623,Tweet,56771,User,
195522,624,Tweet,97159,User,
195523,627,Tweet,57775,User,
195524,628,Tweet,56743,User,
195525,629,Tweet,56749,User,
195526,632,Tweet,97161,User,
195527,633,Tweet,97160,User,
195528,636,Tweet,56578,User,
195529,638,Tweet,97408,User,
195530,639,Tweet,56578,User,
195531,640,Tweet,56586,User,
195532,642,Tweet,97161,User,
195533,642,Tweet,56586,User,
195534,646,Tweet,95162,User,
195535,647,Tweet,57263,User,
195536,647,Tweet,92190,User,
195537,654,Tweet,64465,User,
195538,657,Tweet,97154,User,
195539,659,Tweet,97163,User,
195540,661,Tweet,97164,User,
195541,664,Tweet,56578,User,
195542,665,Tweet,97154,User,
195543,666,Tweet,97165,User,
195544,666,Tweet,56648,User,
195545,666,Tweet,56638,User,
195546,667,Tweet,88567,User,
195547,667,Tweet,97154,User,
195548,668,Tweet,88567,User,
195549,668,Tweet,97154,User,
195550,674,Tweet,56638,User,
195551,674,Tweet,97170,User,
195552,688,Tweet,97166,User,
195553,689,Tweet,97167,User,
195554,693,Tweet,57775,User,
195555,693,Tweet,91855,User,
195556,693,Tweet,97154,User,
195557,695,Tweet,57775,User,
195558,696,Tweet,56638,User,
195559,698,Tweet,97160,User,
195560,699,Tweet,97154,User,
195561,700,Tweet,97169,User,
195562,702,Tweet,88567,User,
195563,702,Tweet,92190,User,
195564,703,Tweet,97170,User,
195565,705,Tweet,97171,User,
195566,707,Tweet,97159,User,
195567,709,Tweet,57263,User,
195568,710,Tweet,64465,User,
195569,712,Tweet,97172,User,
195570,714,Tweet,92190,User,
195571,716,Tweet,56965,User,
195572,717,Tweet,56965,User,
195573,722,Tweet,97155,User,
195574,723,Tweet,56749,User,
195575,724,Tweet,88567,User,
195576,724,Tweet,92190,User,
195577,728,Tweet,56586,User,
195578,733,Tweet,86892,User,
195579,735,Tweet,56638,User,
195580,740,Tweet,97174,User,
195581,743,Tweet,97175,User,
195582,746,Tweet,97177,User,
195583,746,Tweet,92190,User,
195584,749,Tweet,64463,User,
195585,753,Tweet,97178,User,
195586,757,Tweet,97154,User,
195587,758,Tweet,88246,User,
195588,760,Tweet,56965,User,
195589,763,Tweet,97179,User,
195590,766,Tweet,97154,User,
195591,767,Tweet,56578,User,
195592,768,Tweet,97154,User,
195593,772,Tweet,97180,User,
195594,772,Tweet,56749,User,
195595,776,Tweet,92190,User,
195596,779,Tweet,97181,User,
195597,779,Tweet,97154,User,
195598,781,Tweet,97182,User,
195599,785,Tweet,97155,User,
195600,786,Tweet,97183,User,
195601,787,Tweet,97184,User,
195602,789,Tweet,97185,User,
195603,790,Tweet,97182,User,
195604,792,Tweet,97186,User,
195605,794,Tweet,56680,User,
195606,796,Tweet,64463,User,
195607,798,Tweet,92190,User,
195608,802,Tweet,97187,User,
195609,804,Tweet,97188,User,
195610,810,Tweet,97189,User,
195611,818,Tweet,56586,User,
195612,826,Tweet,56586,User,
195613,827,Tweet,97192,User,
195614,830,Tweet,56578,User,
195615,831,Tweet,56586,User,
195616,833,Tweet,92190,User,
195617,839,Tweet,97193,User,
195618,841,Tweet,92289,User,
195619,843,Tweet,57263,User,
195620,845,Tweet,97194,User,
195621,856,Tweet,92190,User,
195622,860,Tweet,97196,User,
195623,861,Tweet,56743,User,
195624,864,Tweet,97197,User,
195625,867,Tweet,56922,User,
195626,870,Tweet,97198,User,
195627,871,Tweet,97199,User,
195628,872,Tweet,96773,User,
195629,874,Tweet,56586,User,
195630,875,Tweet,79100,User,
195631,876,Tweet,97200,User,
195632,883,Tweet,97201,User,
195633,884,Tweet,97202,User,
195634,887,Tweet,97203,User,
195635,892,Tweet,97239,User,
195636,895,Tweet,92190,User,
195637,902,Tweet,97208,User,
195638,902,Tweet,96535,User,
195639,906,Tweet,97209,User,
195640,907,Tweet,97210,User,
195641,909,Tweet,97211,User,
195642,912,Tweet,97212,User,
195643,915,Tweet,92190,User,
195644,917,Tweet,97214,User,
195645,918,Tweet,97215,User,
195646,920,Tweet,97216,User,
195647,921,Tweet,97202,User,
195648,923,Tweet,92190,User,
195649,925,Tweet,79100,User,
195650,926,Tweet,97217,User,
195651,927,Tweet,97218,User,
195652,929,Tweet,57933,User,
195653,930,Tweet,96495,User,
