mentions_id,start_id,end_id,times
207338,56871,97211,1
207339,60808,62923,1
207340,61156,98098,2
207341,90388,89915,1
207342,57588,97334,1
207343,57588,56743,1
207344,79998,79993,1
207345,98297,98326,1
207346,93110,93501,2
207347,83848,96392,1
207348,83848,75904,1
207349,83848,83848,1
207350,83848,97176,1
207351,58342,97479,1
207352,68862,96426,1
207353,95453,95135,1
295666,61429,61531,1
295667,65388,65425,1
295668,65388,96426,1
295669,65710,58317,1
295670,60319,64463,1
295671,60859,58578,1
295672,57380,96534,1
295673,83365,83235,1
295674,63065,63853,1
295675,56956,97233,1
295676,84942,96905,1
295677,59116,97592,1
295678,94737,94737,1
295679,89927,65677,1
295680,62865,58597,1
295681,83353,83209,1
295682,65104,66625,1
295683,56864,97208,1
295684,56864,96535,1
295685,84711,84655,1
295686,67373,65894,1
295687,67373,71473,1
295688,59504,97682,1
295689,87984,69507,1
295690,61138,98092,1
295691,62699,98547,1
295692,56648,97165,1
295693,56648,56648,1
295694,56648,56638,1
295695,96153,72356,1
295696,88425,97698,1
295697,57373,79100,1
295698,59865,97784,1
295699,95694,98523,1
295700,84787,84498,1
295701,59659,97725,1
295702,79550,79547,1
295703,62262,98384,1
295704,75649,58484,1
295705,80158,99430,1
295706,88567,64465,3
295707,88567,94737,1
295708,88567,65894,1
295709,88567,64463,10
295710,88567,97154,1
295711,88567,92190,2
295712,88567,79100,5
295713,88567,88246,1
295714,88567,58987,1
295715,88567,82941,1
295716,88567,89442,1
295717,88567,97317,1
295718,83815,83730,1
295719,74117,98333,1
295720,57240,96179,1
295721,73795,85269,1
295722,73795,86176,1
295723,63070,89915,1
295724,64421,97305,1
295725,64421,57577,1
295726,64421,63007,1
295727,78033,79100,1
295728,60986,61184,1
295729,57968,57775,1
295730,58774,58501,1
295731,96522,96400,1
295732,96522,89460,1
295733,96522,97666,2
295734,86021,85177,1
295735,57578,57577,1
295736,57578,57263,1
295737,57578,92190,1
295738,73034,96126,1
295739,95162,64463,1
295740,60826,60720,1
295741,70132,96126,1
295742,96445,72542,1
295743,68884,97979,1
295744,95126,80244,1
295745,95126,88567,1
295746,95126,79100,1
295747,97674,99430,1
295748,57271,57271,1
295749,57884,97399,1
295750,62196,61678,1
295751,99099,83848,1
295752,94620,96724,1
295753,68559,69024,1
295754,68559,79100,1
295755,98730,98126,1
295756,93454,83848,1
295757,56756,97184,1
295758,95832,93850,1
295759,59011,64465,1
295760,58190,59020,1
295761,64137,58361,1
295762,96847,81051,1
295763,59633,97717,1
295764,57175,58108,1
295765,80421,58381,1
295766,88281,88841,1
295767,66932,69565,1
295768,85342,96943,1
295769,85342,85174,1
295770,63134,65124,1
295771,63134,98586,1
295772,96465,96465,1
295773,96663,88962,1
295774,69183,93220,1
295775,59890,99560,1
295776,82976,57692,1
295777,82976,82913,1
295778,58988,58987,1
295779,62365,88567,1
295780,68040,96426,1
295781,97146,94840,1
295782,88945,96185,1
295783,57423,97317,1
295784,89910,89546,1
295785,79910,79908,1
295786,58270,60844,1
295787,60994,61506,1
295788,60994,61531,1
295789,62684,98541,1
295790,72480,71944,1
295791,83469,82977,1
295792,65005,96429,1
295793,57441,88567,1
295794,57441,79100,1
295795,57654,57654,1
295796,57654,57263,1
295797,59543,88567,1
295798,59543,64463,1
295799,65040,83848,1
295800,58303,58578,1
295801,58077,69701,1
295802,61350,61321,1
295803,60010,96388,1
295804,57711,97360,1
295805,57415,64465,1
295806,60299,90039,1
295807,60801,89184,1
295808,58103,92190,1
295809,86234,85202,1
295810,65019,64995,1
295811,57688,92190,1
295812,61038,98043,1
295813,61038,98054,1
295814,61038,61184,1
295815,66465,65325,1
295816,88422,96403,1
295817,76714,64463,1
295818,56833,97199,1
295819,77439,99110,1
295820,97842,59020,1
295821,58694,58501,1
295822,80725,99513,1
295823,57709,97359,1
295824,77548,99157,1
295825,72921,80314,1
295826,72921,72921,1
295827,72921,64463,1
295828,72921,97498,1
295829,65903,65903,1
295830,59097,83848,1
295831,59060,97577,1
295832,78171,83848,1
295833,69987,70693,1
295834,69987,96324,1
295835,69987,96126,1
295836,61182,61083,1
295837,63808,98750,1
295838,58604,61976,1
295839,63075,65874,1
295840,63075,98586,1
295841,63075,63095,1
295842,81066,96835,1
295843,56694,56965,1
295844,99117,64463,1
295845,67424,58317,1
295846,65694,88841,1
295847,57789,97159,1
295848,95688,82941,1
295849,56996,97245,1
295850,98107,61034,1
295851,83598,96909,1
295852,57562,97330,1
295853,60542,97933,1
295854,61251,86677,1
295855,61251,73784,1
295856,61596,98222,1
295857,61596,63474,1
295858,97177,92190,1
295859,60512,60832,1
295860,79687,99410,1
295861,80153,99430,1
295862,58336,58330,1
295863,98765,69032,1
295864,57608,57263,1
295865,57608,58108,1
295866,58068,96570,1
295867,67075,58597,1
295868,57307,88567,1
295869,58220,79286,1
295870,58081,59020,1
295871,58081,58052,1
295872,67617,96426,1
295873,57001,97248,1
295874,56957,97234,1
295875,69173,65090,1
295876,57263,58108,3
295877,57263,92190,1
295878,57886,96479,1
295879,81729,96758,1
295880,97199,57724,1
295881,69983,96427,1
295882,61030,98058,1
295883,61030,61184,1
295884,56764,64463,1
295885,97447,56743,1
295886,57612,97340,1
295887,57612,56743,1
295888,61981,98316,1
295889,85644,87456,1
295890,85644,86430,1
295891,85746,86625,1
295892,86288,85746,1
295893,86645,87707,4
295894,86645,86700,4
295895,97155,97154,1
295896,63666,98126,1
295897,96512,96512,1
295898,57434,64463,1
295899,79271,57370,1
295900,86314,85238,1
295901,60300,90039,1
295902,85029,64463,1
295903,85029,79100,1
295904,64970,67064,1
295905,64970,64970,1
295906,61083,98050,1
295907,58978,97556,1
295908,56879,97214,1
295909,57990,57263,1
295910,57990,58108,1
295911,76655,98962,2
295912,64273,62587,1
295913,62134,76163,1
295914,76774,98984,1
295915,92813,96678,1
295916,98308,96386,1
295917,56846,97202,1
295918,60358,69408,1
295919,86278,99674,1
295920,57649,97349,1
295921,57599,97572,1
295922,62344,59020,1
295923,62344,64421,1
295924,96540,64970,1
295925,96211,67196,1
295926,70239,92190,1
295927,66229,65489,1
295928,67321,65372,1
295929,76705,97567,1
295930,76036,98804,1
295931,61904,88246,1
295932,81869,74469,1
295933,69717,68595,1
295934,69717,66524,2
295935,81010,96835,1
295936,85158,85147,1
295937,84300,99620,1
295938,58037,63222,1
295939,83157,83157,1
295940,58667,89629,1
295941,56607,56771,1
295942,74486,72198,1
295943,98073,61512,1
295944,61331,98079,1
295945,79966,79965,1
295946,56986,92190,2
295947,95854,69197,1
295948,95854,95692,1
295949,74204,61796,1
295950,83214,88246,1
295951,83214,94737,1
295952,83214,57692,1
295953,83214,82913,1
295954,60054,95111,1
295955,97450,57263,1
295956,96535,96773,1
295957,85594,85208,1
295958,57757,97373,1
295959,79907,79517,1
295960,94834,97603,1
295961,74590,65784,1
295962,80502,99477,1
295963,57704,56743,1
295964,83364,83122,1
295965,83364,59890,1
295966,58705,98783,1
295967,85519,85180,1
295968,85519,85150,1
295969,85519,85230,1
295970,85519,85208,1
295971,85519,85214,1
295972,85519,85341,1
295973,85519,85177,1
295974,58583,58484,1
295975,58583,58501,1
295976,57878,79100,1
295977,56838,97200,1
295978,59901,88567,1
295979,89254,99521,1
295980,89254,79243,1
295981,69817,87002,1
295982,63222,63246,1
295983,65156,64463,1
295984,95572,98794,1
295985,57776,56586,1
295986,57776,59831,1
295987,95142,64463,1
295988,61806,61838,1
295989,61002,73784,1
295990,96890,97603,1
295991,72652,72541,1
295992,94941,82981,1
295993,72612,72612,1
295994,58714,58501,1
295995,58991,94773,1
295996,97161,56586,1
295997,88287,97317,1
295998,62303,56677,1
295999,58956,97552,2
296000,64469,94852,1
296001,56638,97170,1
296002,86326,96797,1
296003,86326,86595,1
296004,86326,64516,1
296005,83488,82914,1
296006,62941,63007,1
296007,56646,56578,1
296008,72277,71874,1
296009,72277,66753,1
296010,77623,99185,1
296011,95135,97572,1
296012,95135,97555,1
296013,63652,96107,1
296014,60836,99528,1
296015,63697,72921,1
296016,63697,96185,1
296017,69752,89105,1
296018,69752,95135,1
296019,61087,60997,1
296020,61087,96977,1
296021,60105,69408,1
296022,57377,58317,1
296023,95038,95135,1
296024,58707,88128,1
296025,83324,83287,1
296026,82857,82915,1
296027,82857,82857,1
296028,96473,70752,1
296029,81491,64471,1
296030,65382,58578,2
296031,86684,86565,1
