replied_to_id,source_user_id,target_user_id,times
207332,90388,89915,1
207333,71473,71473,1
207334,70270,70304,1
207335,70099,70099,1
207336,65388,65425,1
207337,65388,96426,1
293832,65710,58317,1
293833,63065,63853,1
293834,94737,94737,1
293835,62865,58597,1
293836,71027,71027,1
293837,58664,64976,1
293838,96153,96153,2
293839,88425,97698,1
293840,68111,68111,1
293841,88567,88567,1
293842,73795,73795,1
293843,86021,85177,1
293844,66468,66468,1
293845,70132,96126,1
293846,92407,96724,1
293847,94620,96724,1
293848,87464,87464,1
293849,68559,68559,1
293850,73134,73134,1
293851,67911,65368,1
293852,61678,63257,1
293853,82976,82913,1
293854,89910,89546,1
293855,72480,72480,1
293856,58077,69701,1
293857,96886,96886,1
293858,89057,89057,1
293859,66465,65325,1
293860,88422,88422,3
293861,76714,76714,2
293862,97842,59020,1
293863,87426,87426,1
293864,98996,98996,1
293865,96260,96260,1
293866,64465,64465,5
293867,92007,96724,1
293868,63459,63257,1
293869,58336,58330,1
293870,67075,58597,1
293871,67617,96426,1
293872,88457,88457,1
293873,74945,74945,1
293874,81729,81729,3
293875,69983,96427,1
293876,97447,56743,1
293877,92951,96724,1
293878,85644,87456,1
293879,94948,94948,1
293880,80978,80978,1
293881,92813,96678,1
293882,97229,88844,1
293883,73944,73784,1
293884,96211,67196,1
293885,65713,65721,1
293886,66229,65489,1
293887,67321,65372,1
293888,81869,74469,1
293889,83157,83157,1
293890,56607,56771,1
293891,61029,85230,1
293892,61029,86111,2
293893,86611,86611,2
293894,65677,65677,4
293895,83206,83206,1
293896,58583,58484,1
293897,58338,58338,4
293898,58338,97481,1
293899,89254,99521,1
293900,94731,95211,1
293901,72277,71874,1
293902,86467,86467,1
293903,87681,87681,3
293904,61087,60997,1
293905,58484,60832,1
293906,58484,58484,3
293907,72257,58879,1
293908,88656,88656,1
293909,91353,96724,1
293910,80778,80778,2
293911,56578,64494,1
293912,97208,96535,1
293913,95103,95211,2
293914,61794,95198,1
293915,73338,73338,2
293916,88600,88600,1
293917,73864,73864,1
293918,73475,73475,1
293919,57933,58108,1
293920,83896,76553,1
293921,64852,64791,1
293922,64852,61976,1
293923,86065,61544,1
293924,70362,70362,1
293925,70824,70824,1
293926,86751,86751,1
293927,82211,82211,1
293928,97314,57391,1
293929,82379,82379,1
293930,95729,95729,1
293931,58929,94701,1
293932,58929,67365,1
293933,62571,62571,1
293934,57694,95135,1
293935,59324,95674,1
293936,91675,91675,1
293937,86368,96943,1
293938,75105,96607,1
293939,73599,70016,1
293940,86934,86934,1
293941,65721,58362,1
293942,65721,63697,1
293943,66878,69759,1
293944,74889,96398,1
293945,97448,98151,1
293946,82731,82731,1
293947,65153,88128,1
293948,61555,61555,1
293949,72789,73057,1
293950,68027,65368,1
293951,87957,87957,1
293952,66518,58317,1
293953,88997,88997,1
293954,83471,92817,1
293955,72572,72572,1
293956,86176,86176,9
293957,81351,81351,1
293958,69446,93220,1
293959,70207,75841,1
293960,85002,86565,1
293961,81883,81883,1
293962,99220,57692,1
293963,66287,89599,1
293964,63142,63142,1
293965,88812,88812,1
293966,81908,97305,1
293967,87561,73795,1
293968,85452,96943,1
293969,71493,96126,1
293970,59843,59843,1
293971,95642,95642,1
293972,98093,73784,1
293973,73823,73840,1
293974,84575,84754,1
293975,91512,57775,1
293976,90492,58501,1
293977,65957,97481,1
293978,85717,85177,1
293979,88099,88099,1
293980,91733,96724,1
293981,85174,85174,7
293982,75511,96434,1
293983,65793,65793,1
293984,63489,76163,1
293985,71575,71575,1
293986,87402,87402,1
293987,87352,87352,1
293988,57583,57933,1
293989,91576,91576,1
293990,81886,81232,1
293991,69722,87002,1
293992,92062,96724,1
293993,92875,96724,1
293994,87076,87076,1
293995,96977,96977,1
293996,98047,61184,1
293997,72463,71638,1
293998,87061,87120,1
293999,85393,85177,1
294000,66995,65041,1
294001,76079,65822,1
294002,86115,86280,1
294003,85134,85134,3
294004,98072,98036,1
294005,62810,95162,1
294006,78355,83848,1
294007,73126,73356,1
294008,61499,85508,1
294009,62018,79100,1
294010,86971,86971,1
294011,76602,96724,1
294012,58164,56743,1
294013,81478,81478,1
294014,75290,58484,1
294015,94754,94754,1
294016,64534,64534,2
294017,95411,95411,1
294018,96444,96444,1
294019,86653,86653,1
294020,91835,96724,1
294021,73372,73372,1
294022,56920,94684,1
294023,95599,96724,1
294024,70533,62115,1
294025,66756,66790,1
294026,91606,96724,1
294027,61226,58903,1
294028,64868,68261,1
294029,97645,91786,1
294030,93026,96724,1
294031,80911,96824,1
294032,57742,57742,1
294033,86894,87105,1
294034,87137,87137,1
294035,65368,96426,1
294036,88835,87990,1
294037,92403,94737,1
294038,78060,78060,1
294039,72047,72047,1
294040,63786,70620,1
294041,94671,94671,1
294042,85164,86645,1
294043,66300,58501,1
294044,83484,83848,1
294045,66893,95438,1
294046,70708,70708,1
294047,96517,96517,1
294048,86177,86177,1
294049,60008,94737,1
294050,75902,75902,1
294051,93596,93596,1
294052,92761,96724,1
294053,85686,85686,1
294054,81024,98699,1
294055,89442,89442,1
294056,70015,89442,1
294057,79449,79449,1
294058,92210,96724,1
294059,87332,75812,1
294060,62966,65124,1
294061,86183,85865,1
294062,74963,75841,1
294063,77064,96724,1
294064,71407,96126,1
294065,58374,97478,1
294066,61715,61754,1
294067,63132,58501,1
294068,90470,97979,1
294069,64083,64083,1
294070,86500,73795,1
294071,99353,78815,1
294072,63626,63255,1
294073,85999,96942,1
294074,63007,63007,1
294075,81474,81474,1
294076,58845,58845,2
294077,97056,97056,1
294078,97104,57714,1
294079,91582,96724,1
294080,98104,98042,1
294081,60553,58602,1
294082,85715,85214,1
294083,82793,82793,1
294084,98043,98054,1
294085,98043,60915,1
294086,67077,66981,1
294087,83239,64465,1
294088,97642,88246,1
294089,98438,98438,1
294090,82022,95361,1
294091,69531,63007,1
294092,64976,58664,1
294093,64976,58850,1
294094,88925,89060,1
294095,66399,64670,1
294096,56754,97155,1
294097,87158,91037,1
294098,86222,86206,1
294099,81749,81749,1
294100,65798,58484,1
294101,64196,64670,1
294102,86719,86719,6
294103,85224,61057,1
294104,87043,87043,1
294105,79371,88206,1
294106,86762,85461,1
294107,86762,87456,1
294108,68291,64745,1
294109,61671,62059,1
294110,68238,58501,1
294111,58713,62810,1
294112,97530,58621,1
294113,65270,58597,1
294114,58926,68839,1
294115,69106,58298,1
294116,77885,77885,1
294117,58578,58578,1
294118,66905,65104,1
294119,68407,68407,1
294120,73430,96697,1
294121,61206,61506,1
294122,95247,95247,1
294123,62962,98589,1
294124,81600,81600,1
294125,90230,90230,1
294126,60310,90039,1
294127,94390,98649,1
294128,85227,85123,1
294129,85227,85145,1
294130,85227,85296,1
294131,90402,90402,1
294132,91147,71473,1
294133,66493,83848,1
294134,87480,87480,1
294135,96266,96438,1
294136,93539,93539,1
294137,98913,83848,1
294138,82153,82153,1
294139,57932,56578,1
294140,96940,85293,1
294141,60997,61034,1
294142,64763,76993,1
294143,64056,64056,1
294144,92858,96724,1
294145,75165,75165,4
294146,96927,83155,1
294147,58501,58501,3
294148,75486,75486,1
294149,84053,84053,1
294150,86737,86737,2
294151,85597,85597,1
294152,78203,70099,1
294153,66850,58501,1
294154,64792,64516,1
294155,98469,88246,1
294156,82335,82335,1
294157,76358,88246,1
294158,98550,98151,1
294159,88968,88968,1
294160,89745,89745,1
294161,89813,89813,1
294162,83254,83848,1
294163,92069,96724,2
294164,61371,61287,1
294165,94653,95211,1
294166,61250,98043,1
294167,62819,90999,1
294168,96903,96903,1
294169,85323,85323,1
294170,93488,88560,1
294171,74872,88567,1
294172,73214,73214,1
294173,64537,72286,1
294174,70450,69985,1
294175,87096,87096,1
294176,83151,88246,1
294177,72866,57691,1
294178,89071,89071,1
294179,86297,61029,1
294180,94992,95211,1
294181,97310,57372,1
294182,58596,58596,3
294183,87508,87453,1
294184,88237,88237,3
294185,76290,96535,1
294186,56892,96495,1
294187,66256,62993,1
294188,75715,71077,1
294189,68511,97517,1
294190,65012,58501,1
294191,64766,65558,1
294192,60525,60648,1
294193,87452,86789,1
294194,85366,86176,1
294195,69946,65721,1
294196,90428,58578,1
294197,68056,68056,3
294198,91093,91093,1
294199,68150,60844,1
294200,87960,87960,1
294201,61866,61754,1
294202,57286,90039,1
294203,76869,89743,1
294204,64784,58597,1
294205,87550,87550,1
294206,66078,64976,1
294207,72786,96114,1
294208,74843,70099,1
294209,92033,64465,1
294210,80840,71473,1
294211,85296,87456,1
294212,65332,65941,1
294213,87441,86039,1
294214,94059,89492,1
294215,93658,87957,1
294216,88618,88618,1
294217,66534,58484,1
294218,91887,96724,1
294219,62944,60736,1
294220,61201,61189,1
294221,58771,97481,1
294222,93222,94255,1
294223,68796,68717,1
294224,76478,76553,1
294225,72876,70016,1
294226,93843,93506,1
294227,59532,82914,1
294228,66464,98604,1
294229,75058,70099,1
294230,67265,58484,1
294231,78281,89105,1
294232,66781,97513,1
294233,59831,59831,1
294234,81429,96787,1
294235,77414,77414,1
294236,93833,93809,1
294237,97959,60832,1
294238,83470,83470,1
294239,66666,58578,1
294240,61321,85752,1
294241,79898,79897,1
294242,70273,57692,1
294243,82145,96724,1
294244,77263,57692,1
294245,56624,56624,1
294246,59388,59388,2
294247,59388,88881,1
294248,85529,85485,1
294249,70079,96126,1
294250,83276,83307,1
294251,63255,63434,1
294252,72521,70376,1
294253,66029,62796,1
294254,66029,58578,1
294255,74922,74922,1
294256,64644,88246,1
294257,67163,65104,1
294258,73566,73566,1
294259,75643,97782,1
294260,69929,96141,1
294261,98005,97056,1
