reply_to_id,start_id,start_label,end_id,end_label
188648,1765,Tweet,52204,Tweet
188649,2182,Tweet,52363,Tweet
188650,5536,Tweet,53791,Tweet
188651,5656,Tweet,53847,Tweet
188652,5977,Tweet,54006,Tweet
188653,6204,Tweet,54108,Tweet
188654,7326,Tweet,54650,Tweet
188655,9464,Tweet,9452,Tweet
188656,9745,Tweet,9708,Tweet
188657,10126,Tweet,10175,Tweet
188658,10660,Tweet,10700,Tweet
188659,11485,Tweet,11536,Tweet
188660,11613,Tweet,11375,Tweet
188661,11633,Tweet,11634,Tweet
188662,11727,Tweet,11730,Tweet
188663,11785,Tweet,11699,Tweet
188664,12014,Tweet,11160,Tweet
188665,12243,Tweet,12094,Tweet
188666,12266,Tweet,12291,Tweet
188667,12380,Tweet,12264,Tweet
188668,12579,Tweet,12492,Tweet
188669,12592,Tweet,12433,Tweet
188670,12714,Tweet,12420,Tweet
188671,12776,Tweet,12743,Tweet
188672,12980,Tweet,12804,Tweet
188673,12989,Tweet,12761,Tweet
188674,14462,Tweet,14336,Tweet
188675,14624,Tweet,14625,Tweet
188676,15182,Tweet,15152,Tweet
188677,15367,Tweet,15385,Tweet
188678,15547,Tweet,13680,Tweet
188679,16207,Tweet,49728,Tweet
188680,16809,Tweet,49970,Tweet
188681,17196,Tweet,49820,Tweet
188682,17736,Tweet,50065,Tweet
188683,17774,Tweet,50030,Tweet
188684,18150,Tweet,50065,Tweet
188685,18259,Tweet,50065,Tweet
188686,18421,Tweet,18371,Tweet
188687,18537,Tweet,18066,Tweet
188688,18616,Tweet,50146,Tweet
188689,18724,Tweet,50537,Tweet
188690,18760,Tweet,18711,Tweet
188691,18787,Tweet,50531,Tweet
188692,18942,Tweet,50358,Tweet
188693,18996,Tweet,50571,Tweet
188694,19062,Tweet,50154,Tweet
188695,19091,Tweet,50038,Tweet
188696,19494,Tweet,50125,Tweet
188697,19502,Tweet,50279,Tweet
188698,19658,Tweet,50328,Tweet
188699,19900,Tweet,50371,Tweet
188700,19983,Tweet,50315,Tweet
188701,20397,Tweet,50065,Tweet
188702,20431,Tweet,50451,Tweet
188703,20525,Tweet,20545,Tweet
188704,20939,Tweet,50070,Tweet
188705,21389,Tweet,50526,Tweet
188706,21639,Tweet,50065,Tweet
188707,21664,Tweet,50611,Tweet
188708,21681,Tweet,50273,Tweet
188709,21914,Tweet,50661,Tweet
188710,21952,Tweet,50665,Tweet
188711,22545,Tweet,50735,Tweet
188712,22578,Tweet,50734,Tweet
188713,22668,Tweet,50734,Tweet
188714,22838,Tweet,50785,Tweet
188715,27119,Tweet,27118,Tweet
188716,27304,Tweet,56045,Tweet
188717,27879,Tweet,56143,Tweet
188718,28221,Tweet,56233,Tweet
188719,28815,Tweet,29248,Tweet
188720,29633,Tweet,30495,Tweet
188721,30235,Tweet,28933,Tweet
188722,30483,Tweet,30068,Tweet
188723,30625,Tweet,30199,Tweet
188724,31142,Tweet,31006,Tweet
188725,31518,Tweet,51133,Tweet
188726,31903,Tweet,51133,Tweet
188727,32209,Tweet,32002,Tweet
188728,32234,Tweet,31697,Tweet
188729,32334,Tweet,32150,Tweet
188730,33389,Tweet,33332,Tweet
188731,33543,Tweet,33460,Tweet
188732,33557,Tweet,33553,Tweet
188733,33787,Tweet,56447,Tweet
188734,33808,Tweet,33797,Tweet
188735,33843,Tweet,33835,Tweet
188736,33950,Tweet,33929,Tweet
188737,34043,Tweet,34024,Tweet
188738,34047,Tweet,34043,Tweet
188739,34193,Tweet,34077,Tweet
188740,34225,Tweet,34151,Tweet
188741,34314,Tweet,51238,Tweet
188742,34586,Tweet,34568,Tweet
188743,34591,Tweet,51238,Tweet
188744,34865,Tweet,34762,Tweet
188745,34935,Tweet,51264,Tweet
188746,35011,Tweet,51225,Tweet
188747,35094,Tweet,34990,Tweet
188748,35211,Tweet,34739,Tweet
188749,35223,Tweet,34768,Tweet
188750,35258,Tweet,35220,Tweet
188751,35274,Tweet,35252,Tweet
188752,35275,Tweet,35221,Tweet
188753,35402,Tweet,34868,Tweet
188754,35525,Tweet,35374,Tweet
188755,35577,Tweet,35430,Tweet
188756,35827,Tweet,37132,Tweet
188757,35920,Tweet,36309,Tweet
188758,36016,Tweet,51321,Tweet
188759,36074,Tweet,35801,Tweet
188760,36117,Tweet,38130,Tweet
188761,36143,Tweet,37902,Tweet
188762,36162,Tweet,35800,Tweet
188763,36206,Tweet,38122,Tweet
188764,36229,Tweet,37319,Tweet
188765,36298,Tweet,36162,Tweet
188766,36306,Tweet,37472,Tweet
188767,36426,Tweet,36972,Tweet
188768,36517,Tweet,36228,Tweet
188769,36530,Tweet,37560,Tweet
188770,36655,Tweet,36757,Tweet
188771,36687,Tweet,37889,Tweet
188772,36792,Tweet,36532,Tweet
188773,36931,Tweet,37230,Tweet
188774,36972,Tweet,36267,Tweet
188775,37031,Tweet,37011,Tweet
188776,37065,Tweet,36204,Tweet
188777,37081,Tweet,37318,Tweet
188778,37179,Tweet,38279,Tweet
188779,37316,Tweet,36508,Tweet
188780,37349,Tweet,36766,Tweet
188781,37395,Tweet,36646,Tweet
188782,37524,Tweet,36786,Tweet
188783,37577,Tweet,36190,Tweet
188784,37588,Tweet,37458,Tweet
188785,37607,Tweet,37649,Tweet
188786,37622,Tweet,51372,Tweet
188787,37718,Tweet,38124,Tweet
