retweeted_id,retweet_id,original_tweet_id
188893,583,51815
188894,589,51816
188895,609,51824
188896,610,51825
188897,620,51828
188898,628,51831
188899,646,51835
188900,647,51836
188901,659,51840
188902,661,51841
188903,689,51848
188904,692,51849
188905,693,51850
188906,699,51854
188907,702,51856
188908,703,51857
188909,705,51858
188910,709,51860
188911,712,51861
188912,716,51864
188913,718,51865
188914,728,51868
188915,733,51869
188916,735,51870
188917,740,51871
188918,743,51872
188919,746,51875
188920,748,51876
188921,749,51877
188922,757,51879
188923,764,51883
188924,767,51885
188925,772,51886
188926,776,51887
188927,784,51891
188928,787,51893
188929,790,51895
188930,792,51896
188931,804,51900
188932,810,51901
188933,818,51903
188934,826,51905
188935,828,51907
188936,831,51909
188937,833,51910
188938,841,51912
188939,843,51913
188940,845,51914
188941,856,51916
188942,860,51917
188943,861,51918
188944,864,51919
188945,865,51920
188946,871,51922
188947,872,51923
188948,875,51924
188949,876,51925
188950,883,51926
188951,884,51927
188952,900,51932
188953,901,51933
188954,902,51934
188955,906,51935
188956,907,51936
188957,912,51938
188958,915,51939
188959,916,51940
188960,917,51941
188961,926,51945
188962,938,51950
188963,939,51951
188964,955,51954
188965,962,51956
188966,967,51957
188967,970,51958
188968,973,51960
188969,990,51965
188970,996,51968
188971,1003,51972
188972,1006,51972
188973,1008,51975
188974,1014,51977
188975,1015,51972
188976,1020,51980
188977,1028,1027
188978,1029,1027
188979,1034,51983
188980,1036,51984
188981,1037,51985
188982,1038,51986
188983,1045,51989
188984,1048,51991
188985,1051,51992
188986,1060,51996
188987,1065,51997
188988,1068,51998
188989,1073,52001
188990,1074,52002
188991,1079,52003
188992,1083,52005
188993,1085,52006
188994,1087,52007
188995,1094,51998
188996,1109,52012
188997,1110,52013
188998,1122,52015
188999,1128,52017
189000,1137,52019
189001,1139,52020
189002,1156,52024
189003,1157,52025
189004,1159,52026
189005,1168,52027
189006,1180,52029
189007,1188,52032
189008,1200,52034
189009,1208,52036
189010,1210,52037
189011,1211,52038
189012,1220,52039
189013,1239,52046
189014,1243,52047
189015,1244,52048
189016,1250,52051
189017,1256,52054
189018,1257,52055
189019,1263,52056
189020,1268,52058
189021,1269,52059
189022,1277,52062
189023,1278,52063
189024,1297,52066
189025,1301,52069
189026,1322,52072
189027,1324,52073
189028,1330,52075
189029,1331,52076
189030,1333,52077
189031,1335,52076
189032,1336,52076
189033,1337,52078
189034,1340,52077
189035,1342,52076
189036,1343,52078
189037,1344,52075
189038,1345,52079
189039,1346,52077
189040,1347,52076
189041,1348,52078
189042,1351,52078
189043,1357,52078
189044,1362,52082
189045,1363,52083
189046,1364,52084
189047,1366,52078
189048,1372,52086
189049,1373,52087
189050,1381,52089
189051,1384,52090
189052,1390,52079
189053,1398,52092
189054,1404,52094
189055,1407,52095
189056,1418,52098
189057,1421,52099
189058,1422,52100
189059,1423,52101
189060,1425,52101
189061,1429,52089
189062,1434,52104
189063,1436,52105
189064,1437,52105
189065,1438,52106
189066,1440,52108
189067,1441,52109
189068,1444,52110
189069,1449,52111
189070,1452,52077
189071,1457,52113
189072,1462,52114
189073,1464,52115
189074,1471,52116
189075,1473,52118
189076,1477,52119
189077,1478,52120
189078,1481,52118
189079,1498,52124
189080,1508,52125
189081,1510,52126
189082,1523,52127
189083,1524,52128
189084,1532,52129
189085,1534,52130
189086,1569,52133
189087,1572,52134
189088,1580,52137
189089,1596,52138
189090,1599,52139
189091,1602,52140
189092,1603,52141
189093,1606,52142
189094,1610,52143
189095,1612,52144
189096,1613,52145
189097,1615,52146
189098,1619,52147
189099,1620,52148
189100,1622,52150
189101,1629,52152
189102,1636,52153
189103,1639,1638
189104,1640,52147
189105,1642,52154
189106,1652,52156
189107,1653,52157
189108,1654,52158
189109,1655,52159
189110,1659,52160
189111,1665,52162
189112,1666,52163
189113,1670,52164
189114,1673,52165
189115,1676,52167
189116,1680,52169
189117,1686,52170
189118,1688,52171
189119,1689,52172
189120,1690,52173
189121,1695,52176
189122,1696,52177
189123,1699,52179
189124,1707,52181
189125,1710,52171
189126,1712,52182
189127,1714,52184
189128,1715,52185
189129,1719,52187
189130,1724,52189
189131,1726,52191
189132,1730,52192
189133,1731,52193
189134,1732,52194
189135,1735,52196
189136,1736,52197
189137,1737,52196
189138,1740,52198
189139,1742,52196
189140,1744,52196
189141,1745,52199
189142,1747,52200
189143,1752,52201
189144,1760,52202
189145,1770,52204
189146,1775,52207
189147,1776,52208
189148,1778,52209
189149,1780,52211
189150,1783,52213
189151,1785,52214
189152,1787,52216
189153,1789,52218
189154,1790,52219
189155,1794,52221
189156,1795,52222
189157,1796,52223
189158,1799,52224
189159,1802,52227
189160,1806,52229
189161,1808,52231
189162,1811,52232
189163,1815,52233
189164,1818,52234
189165,1822,52235
189166,1828,52238
189167,1830,52240
189168,1832,52241
189169,1835,52242
189170,1842,52233
189171,1846,52244
189172,1848,52246
189173,1849,52247
189174,1853,52248
189175,1855,52249
189176,1859,52250
189177,1860,52251
189178,1863,52252
189179,1875,52255
189180,1877,52256
189181,1878,52257
189182,1879,52258
189183,1882,52259
189184,1884,52260
189185,1886,52261
189186,1887,52262
189187,1888,52263
189188,1897,52265
189189,1900,52267
189190,1904,52267
189191,1909,52269
189192,1911,52270
189193,1913,52271
189194,1923,52272
189195,1926,52273
189196,1928,52274
189197,1931,52275
189198,1933,52276
189199,1940,52278
189200,1943,52279
189201,1944,52278
189202,1946,52280
189203,1949,52281
189204,1955,52282
189205,1957,52283
189206,1958,52284
189207,1959,52284
189208,1960,52285
189209,1963,52287
189210,1965,52288
189211,1966,52289
189212,1967,52290
189213,1969,52291
189214,1970,52292
189215,1971,52293
189216,1972,52294
189217,1987,52295
189218,1990,52296
189219,1995,52297
189220,1997,52298
189221,2002,52299
189222,2006,52300
189223,2007,52301
189224,2010,52303
