talks_about_id,user_id,event_id
206673,78347,20
206674,78347,26
206675,81657,25
206676,60808,8
206677,61156,9
206678,81696,25
206679,70065,18
206680,81315,25
206681,63223,13
206682,90388,30
206683,57588,2
206684,65129,17
206685,85381,27
206686,88246,29
206687,88246,30
206688,88246,32
206689,88246,33
206690,67364,17
206691,65894,17
206692,74534,18
206693,81487,25
206694,93110,32
206695,56810,0
206696,72982,18
206697,71473,18
206698,71473,29
206699,71473,30
206700,71473,32
206701,71692,18
206702,83848,26
206703,83848,29
206704,83848,31
206705,58342,3
206706,87114,28
206707,70270,18
206708,81996,25
206709,86197,27
206710,86143,27
206711,73023,18
206712,61309,9
206713,82287,25
206714,70099,18
206715,70099,29
206716,70099,30
206717,70099,32
206718,95453,33
206719,67039,17
206720,61429,9
206721,79158,20
206722,65388,17
206723,65710,17
206724,60859,8
206725,57380,1
206726,88712,29
206727,72440,18
206728,63117,12
206729,57692,2
206730,57692,26
206731,86064,27
206732,87355,28
206733,60761,8
206734,83365,26
206735,64903,17
206736,64443,15
206737,87766,28
206738,58712,12
206739,58712,14
206740,79100,20
206741,57395,1
206742,57395,2
206743,57395,13
206744,57395,14
206745,62556,11
206746,66888,17
206747,88709,29
206748,88709,30
206749,88709,32
206750,91471,31
206751,87927,29
206752,71432,18
206753,61517,9
206754,88893,29
206755,59007,4
206756,78618,20
206757,63065,12
206758,63065,17
206759,88841,29
206760,88841,30
206761,88841,31
206762,88841,32
206763,76806,19
206764,84942,26
206765,73242,18
206766,63011,12
206767,83595,26
206768,83793,26
206769,89663,30
206770,70575,18
206771,61796,10
206772,61796,17
206773,61796,18
206774,61796,29
206775,61796,30
206776,91669,31
206777,90106,30
206778,80888,24
206779,64719,16
206780,74600,18
206781,87881,29
206782,87881,32
206783,89927,30
206784,73993,18
206785,62865,12
206786,62865,30
206787,83353,26
206788,71027,18
206789,65104,17
206790,57375,1
206791,58934,4
206792,88917,29
206793,65291,17
206794,58664,17
206795,61995,10
206796,85339,27
206797,60736,8
206798,60736,12
206799,94655,33
206800,82032,25
206801,60885,8
206802,84711,26
206803,67373,17
206804,65387,17
206805,62923,12
206806,62923,17
206807,63101,12
206808,71648,18
206809,57386,1
206810,87984,29
206811,61138,9
206812,62699,11
206813,56648,0
206814,88844,29
206815,88425,29
206816,77832,20
206817,57373,1
206818,95477,33
206819,94628,33
206820,74653,18
206821,94745,33
206822,66009,17
206823,73384,18
206824,91865,31
206825,86452,27
206826,84787,26
206827,58848,12
206828,78041,20
206829,59659,5
206830,74535,18
206831,79550,21
206832,62674,11
206833,62268,11
206834,62268,17
206835,62268,18
206836,62262,11
206837,75649,30
206838,88567,29
206839,91809,31
206840,91809,33
206841,67042,17
206842,72139,18
206843,57065,17
206844,66360,17
206845,66360,32
206846,77445,20
206847,83815,26
206848,74117,18
206849,64241,14
206850,70584,18
206851,73613,18
206852,73237,18
206853,73795,18
206854,73795,26
206855,73795,27
206856,73795,28
206857,73795,29
206858,73795,30
206859,76435,19
206860,67416,17
